GroupNumber    M200[Msol]    fdisk    fbulge    fihl    DtoT_30kpc    kappa_co_30kpc    f_gt_100kpc    f_gt_30kpc    f_gt_2r50    disk_t50    disk_r50    disk_sfr    bulge_t50    bulge_r50    bulge_sfr    ihl_t50    ihl_r50    ihl_sfr
52 3.298812e+13 0.000000e+00 6.567102e-01 3.432898e-01 2.416342e-01 2.770108e-01 3.472801e-01 4.916622e-01 4.058298e-01 nan nan nan 1.012943e+01 8.925650e+00 3.109013e+00 8.702335e+00 3.522753e+02 9.538474e-01
53 2.924682e+13 7.742115e-02 4.442339e-01 4.783450e-01 3.398668e-01 2.599778e-01 2.086102e-01 4.604597e-01 3.629729e-01 5.997824e+00 4.960139e+00 1.981552e+00 9.833834e+00 7.897051e+00 3.791093e-01 9.899891e+00 8.311631e+01 8.854151e-01
54 2.996691e+13 0.000000e+00 7.701555e-01 2.298445e-01 5.036423e-01 3.816782e-01 2.612040e-01 5.040564e-01 3.865516e-01 nan nan nan 9.953813e+00 1.290485e+01 9.832633e+00 9.254408e+00 2.175868e+02 1.419208e+00
55 1.455983e+13 0.000000e+00 6.616058e-01 3.383942e-01 1.831426e-01 3.351302e-01 1.344269e-01 3.283853e-01 3.272543e-01 nan nan nan 8.517989e+00 7.336822e+00 3.020421e+00 9.317186e+00 7.390363e+01 2.443914e-01
56 2.852758e+13 0.000000e+00 6.876586e-01 3.123414e-01 3.487111e-01 2.625142e-01 2.613604e-01 4.259581e-01 3.935956e-01 nan nan nan 9.306381e+00 6.183553e+00 5.480457e-01 8.989988e+00 2.394234e+02 1.308089e+00
57 2.562169e+13 0.000000e+00 6.834639e-01 3.165361e-01 3.501892e-02 1.382507e-01 1.802311e-01 3.953649e-01 3.507739e-01 nan nan nan 1.066459e+01 8.690415e+00 1.567167e+00 1.017142e+01 1.158892e+02 1.065368e+00
58 1.048635e+13 0.000000e+00 8.910877e-01 1.089123e-01 9.846883e-02 2.089527e-01 7.986977e-02 2.734410e-01 3.014768e-01 nan nan nan 1.037541e+01 1.136468e+01 2.487394e-01 1.067036e+01 1.403993e+02 4.518876e-01
59 2.673449e+13 2.758949e-01 3.250310e-01 3.990741e-01 4.159370e-01 4.274470e-01 1.503951e-01 3.378047e-01 3.807280e-01 6.191047e+00 8.830928e+00 4.508086e+00 1.044569e+01 3.102676e+00 4.875118e-01 1.034106e+01 5.945965e+01 2.451468e-01
60 2.611160e+13 0.000000e+00 7.229730e-01 2.770270e-01 9.304053e-02 1.795175e-01 2.166258e-01 4.743023e-01 3.599300e-01 nan nan nan 9.764805e+00 1.349889e+01 9.026688e-01 8.992009e+00 1.374094e+02 1.676899e+00
61 2.578057e+13 0.000000e+00 7.028829e-01 2.971171e-01 3.142530e-02 1.681616e-01 2.153720e-01 4.186168e-01 3.589902e-01 nan nan nan 9.445009e+00 1.101054e+01 1.870197e+00 1.022356e+01 1.500558e+02 1.026053e+00
